BEGIN
SET
        team        | h_div |  site   |         opp         | v_div | t_score | o_score 
 San Francisco      |     1 | home    | St. John's (NY)     |     1 |    70.9 |    71.2
 Seton Hall         |     1 | home    | NJIT                |     1 |    68.6 |    58.1
 South Ala.         |     1 | home    | New Mexico St.      |     1 |    69.1 |    68.4
 Southern Conn. St. |     2 | home    | Le Moyne            |     2 |    75.0 |    74.1
 Southern N.H.      |     2 | home    | Stonehill           |     2 |    66.8 |    60.3
 Southern Utah      |     1 | home    | San Diego           |     1 |    64.9 |    69.0
 Southern Vt.       |     3 | home    | Elms                |     3 |    60.2 |    76.2
 Southwestern (TX)  |     3 | home    | Schreiner           |     3 |    60.2 |    67.9
 St. Anselm         |     2 | home    | Mass.-Lowell        |     2 |    83.1 |    75.9
 St. Bonaventure    |     1 | home    | Siena               |     1 |    70.3 |    57.8
 St. Edwards        |     2 | home    | Tex. A&M-Kingsville |     2 |    64.4 |    61.6
 St. John Fisher    |     3 | home    | Alfred              |     3 |    79.9 |    59.0
 St. Marys (TX)     |     2 | home    | Incarnate Word      |     2 |    82.0 |    68.6
 St. Norbert        |     3 | home    | Lake Forest         |     3 |    69.9 |    57.2
 SUNY Geneseo       |     3 | home    | SUNY Cortland       |     3 |    77.0 |    74.7
 SUNY Potsdam       |     3 | home    | St. Lawrence        |     3 |    71.3 |    64.4
 TCU                |     1 | home    | Houston             |     1 |    61.8 |    60.3
 Tennessee St.      |     1 | home    | Drexel              |     1 |    65.3 |    65.3
 Texas              |     1 | neutral | Georgetown          |     1 |    55.1 |    55.5
 Texas Tech         |     1 | home    | Northern Ky.        |     2 |    76.4 |    62.6
 Thomas (ME)        |     3 | home    | Colby               |     3 |    75.4 |    79.4
 Trine              |     3 | home    | Wabash              |     3 |    68.7 |    57.0
 Tulane             |     1 | home    | Nicholls St.        |     1 |    78.7 |    56.9
 Tuskegee           |     2 | home    | Montevallo          |     2 |    70.6 |    73.5
 Valdosta St.       |     2 | home    | Fort Valley St.     |     2 |    97.0 |    83.8
 Wells              |     3 | home    | Nazareth            |     3 |    69.7 |    87.3
 Western New Eng.   |     3 | home    | Springfield         |     3 |    60.2 |    75.9
 West Liberty       |     2 | home    | West Virginia St.   |     2 |    91.5 |    60.6
 Wheaton (MA)       |     3 | home    | Gordon              |     3 |    70.8 |    58.0
 Wilmington (DE)    |     2 | home    | Chestnut Hill       |     2 |    74.0 |    73.8
 Winthrop           |     1 | home    | Brevard             |     2 |    81.6 |    54.2
 Wisconsin          |     1 | home    | Neb. Omaha          |     1 |    92.5 |    55.4
(119 rows)

COMMIT
